CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score
335024,BEACH TERRACE CARE CENTER,LONG BEACH,Nassau,NY,3.0,1.0,3.03922,0.9642857142857143,0,34.0,40.0
335498,GRANDELL REHABILITATION AND NURSING CENTER,LONG BEACH,Nassau,NY,4.0,4.0,3.92713,0.9597122302158274,0,11.0,8.0
335432,LONG BEACH NURSING AND REHABILITATION CENTER,LONG BEACH,Nassau,NY,3.0,4.0,2.87931,0.6995,0,37.0,44.0
335819,PARK AVENUE EXTENDED CARE FACILITY,LONG BEACH,Nassau,NY,2.0,5.0,2.65457,0.9408333333333334,0,46.0,56.0
335160,LYNBROOK RESTORATIVE THERAPY AND NURSING,LYNBROOK,Nassau,NY,5.0,5.0,3.06258,0.875,0,9.0,12.0
335702,NORTHWELL HEALTH STERN FAMILY CENTER FOR REHAB,MANHASSET,Nassau,NY,3.0,5.0,4.37103,0.9390625,0,28.0,32.0
335074,"PARKVIEW CARE AND REHABILITATION CENTER, INC",MASSAPEQUA,Nassau,NY,4.0,2.0,2.76175,0.9201183431952663,0,20.0,20.0
335871,MOUNT SINAI SOUTH NASSAU T C U,OCEANSIDE,Nassau,NY,5.0,4.0,4.91269,0.8800000000000001,0,2.0,0.0
335158,OCEANSIDE CARE CENTER INC,OCEANSIDE,Nassau,NY,4.0,4.0,3.14849,0.991,0,22.0,16.0
335284,CENTRAL ISLAND HEALTHCARE,PLAINVIEW,Nassau,NY,3.0,5.0,2.97223,0.7658415841584157,0,31.0,32.0
335022,SANDS POINT CENTER FOR HEALTH AND REHABILITATION,PORT WASHINGTON,Nassau,NY,3.0,4.0,2.2133,0.7872222222222222,0,26.0,28.0
335747,"ROCKVILLE SKILLED NURSING & REHAB CENTER, L L C",ROCKVILLE CENTRE,Nassau,NY,4.0,5.0,2.87791,0.9424242424242425,0,15.0,16.0
335297,THE GRAND PAVILION FOR RHB & NRSG AT ROCKVILLE CTR,ROCKVILLE CENTRE,Nassau,NY,2.0,4.0,2.60842,0.9727848101265822,0,53.0,56.0
335559,SUNHARBOR MANOR,ROSLYN HEIGHTS,Nassau,NY,2.0,4.0,3.26098,0.9263157894736842,0,39.0,40.0
335023,A Holly Patterson Extended Care Facility,UNIONDALE,Nassau,NY,1.0,3.0,3.18885,0.7327674023769101,1,242.25,297.0
335798,TOWNHOUSE CENTER FOR REHABILITATION & NURSING,UNIONDALE,Nassau,NY,4.0,2.0,2.63972,0.9321428571428572,0,24.0,24.0
335700,NORTH SHORE - L I J ORZAC CTR FOR REHABILITATION,VALLEY STREAM,Nassau,NY,2.0,4.0,4.92626,0.9325,0,42.75,24.0
335231,"EXCEL AT WOODBURY FOR REHAB AND NURSING, L L C",WOODBURY,Nassau,NY,5.0,5.0,3.36226,0.8048780487804879,0,9.0,8.0
335690,WHITE OAKS REHABILITATION AND NURSING CENTER,WOODBURY,Nassau,NY,3.0,3.0,3.58398,0.887,0,35.0,32.0
335555,WOODBURY HEIGHTS NURSING AND REHABILITATION CENTER,WOODBURY,Nassau,NY,1.0,4.0,4.35052,0.35544554455445543,0,127.5,68.0
335718,THE FIVE TOWNS PREMIER REHAB & NURSING CENTER,WOODMERE,Nassau,NY,3.0,5.0,2.647,0.8023809523809524,0,38.0,40.0
335802,Glen Arden Inc,GOSHEN,New York,NY,1.0,4.0,5.26811,0.8400000000000001,0,83.0,108.0
335092,HENRY J CARTER SKILLED NURSING FACILITY,MANHATTAN,New York,NY,3.0,2.0,3.53966,0.9304878048780487,0,26.0,24.0
335570,AMSTERDAM NURSING HOME CORP (1992),NEW YORK,New York,NY,4.0,5.0,3.04737,0.9821515892420538,0,21.0,28.0
335257,FORT TRYON CENTER FOR REHABILITATION AND NURSING,NEW YORK,New York,NY,5.0,2.0,3.35088,0.9824390243902439,0,11.0,12.0
335522,"HARLEM CTR FOR NURSING AND REHABILITATION, L L C",NEW YORK,New York,NY,2.0,3.0,3.0708,0.9795,0,69.0,76.0
335100,ISABELLA GERIATRIC CENTER INC,NEW YORK,New York,NY,2.0,2.0,3.14462,0.9785815602836879,0,60.0,60.0
