CMS Certification Number (CCN),Provider Name,City/Town,County/Parish,State,health_inspection_rating,short_stay_qm_rating,adjusted_total_nurse_hours_per_resident_day,estimated_occupancy_rate,abuse_icon_flag,total_weighted_health_survey_score,rating_cycle_1_total_health_score,missing_metric_count,disqualified_top10_flag,health_inspection_rating_component,short_stay_qm_rating_component,adjusted_total_nurse_hours_per_resident_day_component,estimated_occupancy_rate_component,abuse_icon_flag_component,rating_cycle_1_total_health_score_component,total_weighted_health_survey_score_component,composite_score,eligible_for_top10,overall_rank,eligible_rank
315119,ARNOLD WALTER NURSING & REHABILITATION CENTER,HAZLET,Monmouth,NJ,3.0,5.0,3.13955,0.694059405940594,0,60.0,68.0,0,False,0.5,1.0,0.23792708665955345,0.4474660577264997,1.0,0.8702290076335878,0.9139784946236559,0.7760380544354498,True,54,54.0
335288,SHORE VIEW NURSING  & REHABILITATION CENTER,BROOKLYN,Kings,NY,5.0,5.0,2.86309,0.8884375,0,3.0,4.0,0,False,1.0,1.0,0.19486444598478186,0.2266774394201645,1.0,0.9923664122137404,0.9956989247311828,0.7759258643707285,True,55,55.0
315378,HOMESTEAD REHABILITATION & HEALTH CARE CENTER,NEWTON,Sussex,NJ,1.0,5.0,3.24457,0.42265625,0,193.5,200.0,0,False,0.0,1.0,0.25428546951300246,0.7557452807226309,1.0,0.6183206106870229,0.7225806451612904,0.7758873262520865,True,56,56.0
315356,SKILLED NURSING AT FELLOWSHIP VILLAGE,BASKING RIDGE,Somerset,NJ,5.0,4.0,5.73695,0.8805970149253731,0,1.0,0.0,0,False,1.0,0.75,0.6425096768666424,0.23558322623145633,1.0,1.0,0.9985663082437276,0.7748446902717671,True,57,57.0
315262,HARROGATE,LAKEWOOD,Ocean,NJ,4.0,5.0,4.95623,0.8897058823529411,0,30.0,36.0,0,False,0.75,1.0,0.5209012531250243,0.22523671952554292,1.0,0.9312977099236641,0.956989247311828,0.7739213120669389,True,58,58.0
315419,N J EASTERN STAR HOME,BRIDGEWATER,Somerset,NJ,4.0,5.0,4.39224,0.8841463414634146,0,19.0,16.0,0,False,0.75,1.0,0.43305165928083555,0.23155164589291943,1.0,0.9694656488549618,0.9727598566308244,0.772852293031813,True,59,59.0
315529,LIVIA HEALTH AND SENIOR LIVING,EAST HANOVER,Morris,NJ,4.0,5.0,4.06209,0.8651162790697675,0,30.0,16.0,0,False,0.75,1.0,0.38162602512480637,0.2531673593430811,1.0,0.9694656488549618,0.956989247311828,0.7726844999514885,True,60,60.0
335719,QUANTUM REHABILITATION AND NURSING L L C,MIDDLE ISLAND,Suffolk,NY,5.0,5.0,2.99191,0.9141666666666667,0,6.0,4.0,0,False,1.0,1.0,0.2149300228194924,0.19745240155776722,1.0,0.9923664122137404,0.9913978494623656,0.7707893920834928,True,61,61.0
335333,HOLLIS PARK MANOR NURSING HOME,HOLLIS,Queens,NY,5.0,5.0,3.92634,0.95625,0,8.0,4.0,0,False,1.0,1.0,0.36048100063084615,0.14965112505408917,1.0,0.9923664122137404,0.9885304659498207,0.770737946711191,True,62,62.0
335132,PARKER JEWISH INSTITUTE FOR HEALTH CARE & REHAB,NEW HYDE PARK,Queens,NY,5.0,5.0,3.30873,0.9301707779886148,0,8.0,4.0,0,False,1.0,1.0,0.26427931681710926,0.1792737809519196,1.0,0.9923664122137404,0.9885304659498207,0.7702141098454591,True,63,63.0
315492,FALLSVIEW NURSING AND REHABILITATION CENTER,BOONTON,Morris,NJ,3.0,5.0,3.58387,0.7547008547008547,0,54.0,48.0,0,False,0.5,1.0,0.3071363484139285,0.37858513907843205,1.0,0.9083969465648855,0.9225806451612903,0.7695620969553857,True,64,64.0
315157,MORRISTOWN POST ACUTE REHAB AND NURSING CENTER,MORRISTOWN,Morris,NJ,2.0,5.0,4.10591,0.6979094076655052,0,63.0,60.0,0,False,0.25,1.0,0.38845162345501133,0.44309294888708295,1.0,0.8854961832061069,0.9096774193548387,0.7687788623340861,True,65,65.0
315002,CAREONE AT SOMERSET VALLEY,BOUND BROOK,Somerset,NJ,3.0,5.0,2.86409,0.73125,0,47.0,60.0,0,False,0.5,1.0,0.19502021043777604,0.40522230636088286,1.0,0.8854961832061069,0.9326164874551971,0.7663428428701236,True,66,66.0
335871,MOUNT SINAI SOUTH NASSAU T C U,OCEANSIDE,Nassau,NY,5.0,4.0,4.91269,0.8800000000000001,0,2.0,0.0,0,False,1.0,0.75,0.5141192688416576,0.2362613587191691,1.0,1.0,0.9971326164874552,0.7657168543919014,True,67,67.0
315253,"PARKER AT SOMERSET, INC",SOMERSET,Somerset,NJ,5.0,4.0,6.44281,0.9333333333333333,0,15.0,20.0,0,False,1.0,0.75,0.7524575736571157,0.1756815231501515,1.0,0.9618320610687023,0.978494623655914,0.7657020591308704,True,68,68.0
315504,WEDGWOOD GARDENS CARE CENTER,FREEHOLD,Monmouth,NJ,3.0,4.0,3.48419,0.6370860927152318,0,44.75,24.0,0,False,0.5,0.75,0.2916097477394684,0.5121804442330232,1.0,0.9541984732824428,0.9358422939068101,0.7655851319734135,True,69,69.0
315017,BERGEN NEW BRIDGE MEDICAL CENTER,PARAMUS,Bergen,NJ,3.0,4.0,3.71396,0.6202090592334495,0,58.0,64.0,0,False,0.5,0.75,0.3273997461039417,0.5313505926058828,1.0,0.8778625954198473,0.9168458781362008,0.7654399998198312,True,70,70.0
315409,VALLEY VIEW REHABILITATION AND HEALTHCARE CTR,NEWTON,Sussex,NJ,1.0,5.0,4.69156,0.5645161290322581,0,148.0,176.0,0,False,0.0,1.0,0.4796750753510542,0.5946106279923506,1.0,0.6641221374045801,0.7878136200716845,0.7653887654860265,True,71,71.0
315190,LEISURE CHATEAU REHABILITATION,LAKEWOOD,Ocean,NJ,4.0,4.0,4.2356,0.759090909090909,0,24.0,16.0,0,False,0.75,0.75,0.4086527153638268,0.373598599583022,1.0,0.9694656488549618,0.9655913978494624,0.7653218257726655,True,72,72.0
315314,ANCHOR CARE AND REHABILITATION CENTER,HAZLET,Monmouth,NJ,4.0,5.0,3.21436,0.8535294117647059,0,27.0,24.0,0,False,0.75,1.0,0.24957982538804827,0.26632855651996856,1.0,0.9541984732824428,0.9612903225806452,0.7652895922007887,True,73,73.0
315247,COMPLETE CARE AT WEST CALDWELL LLC,WEST CALDWELL,Essex,NJ,3.0,5.0,3.39091,0.7638888888888888,0,43.0,56.0,0,False,0.5,1.0,0.2770800395641711,0.3681487090725517,1.0,0.8931297709923665,0.9383512544802868,0.7652147994467485,True,74,74.0
315265,COMPLETE CARE AT GREEN ACRES,TOMS RIVER,Ocean,NJ,5.0,5.0,3.27488,0.944311377245509,0,15.0,8.0,0,False,1.0,1.0,0.25900669008325616,0.16321187136760673,1.0,0.9847328244274809,0.978494623655914,0.7651335537335336,True,75,75.0
315273,COMPLETE CARE AT WOODLANDS,PLAINFIELD,Union,NJ,4.0,5.0,3.72782,0.89,0,19.0,8.0,0,False,0.75,1.0,0.32955864142244107,0.22490263954997836,1.0,0.9847328244274809,0.9727598566308244,0.7651256600807629,True,76,76.0
335284,CENTRAL ISLAND HEALTHCARE,PLAINVIEW,Nassau,NY,3.0,5.0,2.97223,0.7658415841584157,0,31.0,32.0,0,False,0.5,1.0,0.21186457838456693,0.3659306973535953,1.0,0.9389312977099237,0.9555555555555556,0.7645816802650595,True,77,77.0
315015,"COMPLETE CARE AT MADISON, LLC",MATAWAN,Monmouth,NJ,3.0,5.0,3.69109,0.7916167664670658,0,41.0,40.0,0,False,0.5,1.0,0.3238374130639647,0.33665339161573016,1.0,0.9236641221374046,0.9412186379928316,0.764191453431528,True,78,78.0
315530,FLORHAM PARK REHABILITATION AND HEALTHCARE CENTER,FLORHAM PARK,Morris,NJ,5.0,5.0,3.18453,0.9528301886792453,0,4.0,4.0,0,False,1.0,1.0,0.2449333717552318,0.15353559269449646,1.0,0.9923664122137404,0.9942652329749104,0.7637265567876695,True,79,79.0
315472,CAREONE AT EAST BRUNSWICK,EAST BRUNSWICK,Middlesex,NJ,3.0,5.0,3.30593,0.7583333333333333,0,51.0,64.0,0,False,0.5,1.0,0.2638431763487255,0.37445910861099097,1.0,0.8778625954198473,0.9268817204301075,0.7637117727165467,True,80,80.0
315321,"PREFERRED CARE AT OLD BRIDGE, LLC",OLD BRIDGE,Middlesex,NJ,4.0,5.0,3.60443,0.8814285714285715,0,28.0,24.0,0,False,0.75,1.0,0.31033886556748885,0.23463868455214199,1.0,0.9541984732824428,0.9598566308243728,0.7627364302379094,True,81,81.0
315269,VILLAGE POINT,MONROE TOWNSHIP,Middlesex,NJ,3.0,5.0,4.62578,0.8558333333333333,0,37.5,16.0,0,False,0.5,1.0,0.4694288896330968,0.26371159671138045,1.0,0.9694656488549618,0.946236559139785,0.7625904205544275,True,82,82.0
315363,MONTCLAIR CARE CENTER,MONTCLAIR,Essex,NJ,4.0,4.0,3.91172,0.7578125,0,24.0,12.0,0,False,0.75,0.75,0.35820372432807107,0.3750507085677196,1.0,0.9770992366412213,0.9655913978494624,0.7625747488944224,True,83,83.0
315137,COMPLETE CARE AT BARN HILL,NEWTON,Sussex,NJ,4.0,5.0,3.30523,0.8714285714285713,0,29.0,20.0,0,False,0.75,1.0,0.2637341412316296,0.24599740372133294,1.0,0.9618320610687023,0.9584229390681004,0.7622843823237451,True,84,84.0
315274,"COMPLETE CARE AT LAURELTON, LLC",BRICK,Ocean,NJ,2.0,4.0,3.75627,0.5577777777777778,0,102.0,40.0,0,False,0.25,0.75,0.3339901401101256,0.6022645319486514,1.0,0.9236641221374046,0.853763440860215,0.7620150927824072,True,85,85.0
335401,MOMENTUM AT SOUTH BAY FOR REHAB AND NURSING,EAST ISLIP,Suffolk,NY,4.0,5.0,3.16274,0.875,0,17.0,20.0,0,False,0.75,1.0,0.24153926432448855,0.24194071830376462,1.0,0.9618320610687023,0.9756272401433692,0.7610586228891324,True,86,86.0
335402,"OASIS REHABILITATION AND NURSING, LLC",CENTER MORICHES,Suffolk,NY,5.0,5.0,2.89749,0.95,0,6.0,4.0,0,False,1.0,1.0,0.2002227431677817,0.1567503245348335,1.0,0.9923664122137404,0.9913978494623656,0.7610169984605992,True,87,87.0
315141,ABINGDON CARE & REHABILITATION CENTER,GREEN BROOK,Somerset,NJ,1.0,5.0,3.75908,0.5755555555555555,0,159.0,108.0,0,False,0.0,1.0,0.3344278382230391,0.5820712534256456,1.0,0.7938931297709924,0.7720430107526881,0.7604698385016898,True,88,88.0
315360,Emerson Health Care Center,EMERSON,Bergen,NJ,5.0,4.0,4.33627,0.8767741935483871,0,2.0,0.0,0,False,1.0,0.75,0.42433352284675113,0.2399254616769727,1.0,1.0,0.9971326164874552,0.7600887517403662,True,89,89.0
315433,COUNTRY ARCH CARE CENTER,PITTSTOWN,Hunterdon,NJ,3.0,5.0,3.90913,0.8423076923076923,0,41.0,0.0,0,False,0.5,1.0,0.3578002943948162,0.27907499251073464,1.0,1.0,0.9412186379928316,0.759731707851418,True,90,90.0
335461,NEW GOUVERNEUR HOSPITAL S N F,NEW YORK,New York,NY,4.0,5.0,5.01635,0.9715254237288137,0,15.0,12.0,0,False,0.75,1.0,0.5302658120390347,0.13230020022149036,1.0,0.9770992366412213,0.978494623655914,0.759482876642903,True,91,91.0
335310,FOREST VIEW CENTER FOR REHABILITATION & NURSING,FOREST HILLS,Queens,NY,5.0,5.0,3.5702,0.9893750000000001,0,7.0,4.0,0,False,1.0,1.0,0.305007048341498,0.11202536780614447,1.0,0.9923664122137404,0.9899641577060931,0.7588152658342692,True,92,92.0
